id,customerId,url,state,createdAt
38cc7668-d1f5-4a72-b883-cb5325fc19b3,10,/fastcampus/services/b,SUCCESS,20241207144512
a6cd8ab8-aa8a-4859-a50b-a896c7d85101,9,/fastcampus/services/d,SUCCESS,20241207144512
1cba182e-9599-447e-b46e-450480aa249e,8,/fastcampus/services/j,SUCCESS,20241207144512
1cfadd92-eab7-4585-b08f-d2193a4eef4a,6,/fastcampus/services/v,FAIL,20241207144512
9d67bf8b-1d55-49bb-8dc5-981c26209cd5,3,/fastcampus/services/w,SUCCESS,20241207144512
8d294aca-7b95-482a-b1ee-721205ff857e,18,/fastcampus/services/f,SUCCESS,20241207144512
84bf8d9f-ecd3-4548-979a-ba41bd5369ab,4,/fastcampus/services/o,FAIL,20241207144512
0c57be06-1168-4b8f-b5bc-f9f8f5590a06,12,/fastcampus/services/l,SUCCESS,20241207144512
df2f2cda-de57-4999-81b1-7d569b80b879,2,/fastcampus/services/f,SUCCESS,20241207144512
d9490903-f3d7-4dc1-b8d3-9563b7a822b4,7,/fastcampus/services/y,SUCCESS,20241207144512
